FILA,PLANTA,CLL,NDVI,CVI,GNDVI,NRVI,RVI,GCI
1,2,114.51,0.22715105696708396,14.582.108.702.048.800,0.5197435397600434,0.227151056887293,15.894.613.401.746.400,15.198.877.138.937.700
2,4,111.03,0.23247486961745592,15.048.080.329.891.500,0.5507579910742162,0.23247486997698974,16.071.226.908.890.300,15.508.927.545.921.700
3,6,117.61,0.2272410401465664,14.336.495.612.171.100,0.5053618867291215,0.22724104032864895,15.896.344.631.347.700,15.055.035.447.449.000
4,9,103.48,0.22935994208869628,14.456.483.229.422.500,0.5152545407867862,0.2293599422175296,15.965.638.577.924.600,15.153.916.743.185.500
5,10,132.56,0.22847365592076618,15.153.168.177.586.800,0.5509871649006275,0.22847365579696022,15.937.060.749.703.400,15.511.430.409.115.100
6,12,116.49,0.22798663505263927,1.471.969.815.910.320,0.52748872776255,0.22798663501823505,15.921.741.480.157.000,1.527.620.083.661.720
7,13,96.07,0.23321391239977918,15.187.268.281.577.100,0.5592927717750479,0.23321391239618566,16.098.573.532.135.100,15.594.283.235.801.300
8,14,117.76,0.2311695538348476,1.549.494.259.413.560,0.5725230088993513,0.23116955379727017,16.031.635.352.892.100,15.726.737.580.531.800
9,15,109.71,0.22564492121654497,14.722.461.763.801.100,0.5233610280695845,0.22564492132336678,1.584.424.539.426.590,15.234.865.886.670.400
10,19,104.41,0.22937907164139987,14.563.466.508.356.500,0.5214752617812264,0.22937907163519944,15.966.933.616.847.300,15.216.073.949.937.400
11,22,114.87,0.2291076344340595,13.224.035.000.623.100,0.4495809453154974,0.22910763458974326,15.954.725.873.114.400,14.496.903.190.861.800
12,23,121.15,0.23177195221350919,14.754.820.730.942.700,0.5359665660409166,0.23177195197410672,16.047.087.174.299.500,15.361.027.307.057.300
13,24,127.80,0.23101214391920386,14.204.660.977.940.900,0.5047370116601321,0.23101214407736995,16.021.995.249.318.000,15.048.731.300.906.700
14,25,119.99,0.23349181775188332,15.541.809.257.088.500,0.5779345147934596,0.2334918177769471,16.107.336.858.666.500,1.578.073.837.005.310
15,26,108.88,0.22852876173850242,1.515.657.151.939.700,0.5507579015833945,0.22852876161808774,15.949.831.115.430.800,15.509.078.033.958.100
15,3,126.22,0.23294039520716678,14.914.002.835.902.600,0.5457799909981953,0.23294039503610753,16.088.184.237.286.600,15.459.206.621.257.600
14,4,127.04,0.23111073221044953,14.803.375.397.304.900,0.5362095918464665,0.23111073212906355,1.602.632.251.150.430,1.536.347.673.686.460
13,6,125.37,0.2322358946966386,14.751.002.270.101.400,0.5352812761602307,0.23223589481680926,16.066.217.036.665.100,15.354.297.932.395.200
12,9,108.87,0.23252438871728628,153.084.143.153.269,0.5638965334336044,0.2325243886585882,16.072.217.247.029.300,1.564.029.030.954.300
11,10,113.48,0.2339849452419299,1.434.846.425.731.120,0.5165362654600582,0.23398494535344466,16.125.809.855.166.700,15.166.820.443.156.000
10,11,144.16,0.23678292313230095,15.965.972.263.170.100,0.6058502616308947,0.23678292308046484,1.621.778.144.483.290,16.060.091.856.643.600
9,13,136.72,0.2363535844528444,16.418.891.503.804.200,0.6274621486977527,0.23635358472279894,16.209.156.716.761.400,16.276.328.112.478.000
7,15,116.67,0.23430770579366084,16.209.200.841.885.200,0.6150238299224352,0.23430770598817088,16.139.430.711.542.700,16.151.951.328.850.200
6,16,120.58,0.22970958740383174,14.221.449.274.255.200,0.5024420721607997,0.22970958735267058,15.975.058.537.927.700,15.025.627.808.313.700
5,18,130.17,0.23042860365761836,14.958.788.631.769.600,0.5445855157301404,0.23042860362692094,159.979.180.795.671,1.544.726.700.556.840
4,19,130.33,0.23166098092993653,1.547.190.525.181.080,0.5724861290948373,0.23166098095648352,16.040.689.214.514.800,1.572.629.896.201.530
3,20,143.55,0.2274717434396516,15.410.934.392.177.200,0.5634499752724944,0.22747174359934322,15.905.910.118.610.700,1.563.594.900.170.280
2,21,135.05,0.22759743634851495,1.414.509.859.259.910,0.49679401326662403,0.22759743631855403,15.909.942.591.281.900,14.969.209.058.971.300
1,25,126.78,0.22965112303070476,1.547.861.024.939.220,0.5696369239989569,0.22965112292719767,1.598.647.619.807.920,15.698.089.472.674.900
1,2,117.95,0.2127479115153927,4.536.868.286.373.600,0.3901064211207527,0.21274791159046777,15.414.808.342.958.600,13.901.980.423.000.600
2,3,117.81,0.22693771219139675,3.196.060.171.678.170,0.4898427679994151,0.22693771228555543,15.891.960.796.934.900,14.899.849.631.784.500
3,3,110.43,0.22524747538953535,44.441.028.773.907.600,0.537391522433725,0.2252474753560496,15.828.806.197.003.300,15.375.139.622.057.200
4,5,124.83,0.22412646600845845,42.709.867.865.742.900,0.4950519425470175,0.2241264665667426,15.791.535.379.241.100,1.495.164.500.526.000
5,9,142.94,0.2273371701974135,29.966.440.176.129.500,0.4827633801368084,0.22733717003090662,159.015.412.141.437,14.829.019.560.794.500
6,10,140.40,0.23275440331058866,24.085.643.261.958.800,0.5796219146874447,0.23275440317439372,16.081.758.074.079.600,1.579.777.768.019.730
7,12,114.58,0.2387401323594347,24.207.912.071.341.300,0.6132322526334714,0.2387401323735865,16.304.649.544.607.500,16.134.311.440.690.500
8,14,137.07,0.23704974286263095,20.348.948.332.733.800,0.621581532477241,0.2370497426404292,16.243.814.008.699.000,16.217.846.063.946.900
9,16,154.26,0.22766340761457435,20.576.962.185.192.800,0.5123619368438702,0.22766340780897895,15.917.503.710.424.300,15.125.185.369.066.200
10,19,153.46,0.23212778719173832,18.370.022.575.710.200,0.4942029509336391,0.232127787135412268995,1.606.275.503.522.660,1.494.366.231.358.920
11,22,135.41,0.23848948795838906,1.556.180.885.258.600,0.5340500448842374,0.238489487815515,16.278.377.236.907.800,1.534.240.783.202.650
12,24,133.44,0.23642506033341293,1.352.276.013.734.230,0.5495508597859121,0.23642506016734474,16.206.634.259.797.700,15.497.525.541.343.700
13,26,137.59,0.23307688240247376,1.639.063.535.091.240,0.4476233722786813,0.23307688232599655,16.091.947.479.812.500,14.477.952.305.281.900
14,27,147.67,0.22972853246318314,13.917.834.582.125.400,0.4455929104973038,0.22972853261508716,15.987.094.466.437.500,14.457.733.494.295.500
15,30,117.64,0.22768724040730615,19.113.725.090.989.700,0.4942052714654304,0.22768724035404178,15.908.622.187.749.900,1.494.361.858.464.600
15,2,117.81,0.2266922852456337,19.995.533.301.376.000,0.4803800137166885,0.22669228530684202,15.875.220.069.358.300,14.805.352.099.011.800
14,3,129.89,0.2266544546036329,21.008.872.670.570.700,0.4787273411179932,0.22665445464965825,15.872.255.733.403.700,14.788.768.671.605.800
13,6,132.32,0.23043318333074506,22.699.481.933.197.400,0.4998088504915289,0.23043318315606273,15.999.379.497.865.700,14.999.571.867.107.400
12,9,128.44,0.23300998426393885,23.983.997.066.178.900,0.5652492147082533,0.2330099842911898,16.083.271.712.054.500,15.653.981.663.919.400
11,11,147.71,0.22376414464991892,20.221.578.454.596.100,0.4953284194371961,0.22376414466052347,15.787.269.229.807.400,14.954.831.084.808.000
10,13,129.36,0.2338430331341006,19.563.394.782.676.600,0.5452473660650807,0.23384303315430474,16.127.617.139.720.400,15.454.304.503.527.400
9,15,116.25,0.2315071328186168,25.190.644.367.896.200,0.5414244434322462,0.2315071329252626,16.047.235.062.815.400,15.415.911.921.771.500
8,17,127.04,0.23673531487789817,1.753.442.594.292.650,0.5782824229586855,0.23673531497828149,16.224.827.176.888.600,15.784.753.103.798.600
7,20,133.59,0.23230717165061182,17.844.378.794.649.200,0.5681909299940993,0.232307171842561,16.070.546.409.321.100,15.683.726.208.152.300
6,22,97.06,0.22840915570074558,25.836.587.081.574.100,0.4858808641729146,0.2284091558566722,15.937.387.270.071.500,14.860.165.431.431.100
5,24,139.91,0.23794987390673325,13.748.237.178.908.100,0.5780807676129563,0.23794987388441038,16.263.451.171.585.200,1.578.293.336.395.810
4,26,97.43,0.23646005147240248,13.990.365.178.575.100,0.5826886226209093,0.23646005150916902,16.205.818.780.686.400,15.828.863.000.948.100
3,27,112.28,0.23528264015085698,11.153.517.587.871.000,0.5097285083257626,0.2352826404770088,16.172.221.587.326.900,1.509.954.253.336.110
2,28,117.72,0.230177109141609,17.760.160.249.002.600,0.5174342149015104,0.23017710918846798,15.992.800.279.019.200,15.176.028.686.606.500
